Name: Tannery Lane, Instruction: Head southeast on Tannery Lane, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn right, Distance: 136.0 meters, Time: 97.9 seconds
Name: Aljunied Road, Instruction: Turn left onto Aljunied Road, Distance: 147.6 meters, Time: 106.3 seconds
Name: Aljunied Road, Instruction: Keep right onto Aljunied Road, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight right, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 347.4 meters, Time: 250.1 seconds
Name: Pelton Canal Park Connector, Instruction: Turn right onto Pelton Canal Park Connector, Distance: 792.1 meters, Time: 570.3 seconds
Name: -, Instruction: Turn right, Distance: 129.9 meters, Time: 93.5 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Continue straight, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 75.2 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 55.4 meters, Time: 39.9 seconds
Name: Sims Avenue, Instruction: Turn left onto Sims Avenue, Distance: 17.4 meters, Time: 12.6 seconds
Name: Lorong 31 Geylang, Instruction: Turn right onto Lorong 31 Geylang, Distance: 168.0 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
