Name: Letterkenny Place, Instruction: Head south on Letterkenny Place, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 256.4 meters, Time: 184.6 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 363.0 meters, Time: 261.3 seconds
Name: -, Instruction: Turn left, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn left, Distance: 287.6 meters, Time: 207.1 seconds
Name: -, Instruction: Turn right, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
