Name: Harris Street, Instruction: Head north on Harris Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn right, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Keep right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 115.6 meters, Time: 83.2 seconds
Name: -, Instruction: Turn slight right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight right, Distance: 284.9 meters, Time: 205.1 seconds
Name: Macquarie Street, Instruction: Turn sharp right onto Macquarie Street, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Keep left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Smith Street, Instruction: Keep right onto Smith Street, Distance: 147.6 meters, Time: 106.3 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
