Name: Lamb Avenue, Instruction: Head north on Lamb Avenue, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Keep right, Distance: 172.3 meters, Time: 124.0 seconds
Name: -, Instruction: Turn left, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Parkmount Road, Instruction: Turn left onto Parkmount Road, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Keep left, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight right, Distance: 184.1 meters, Time: 132.6 seconds
Name: -, Instruction: Keep left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Keep right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
