Name: Elliot Street, Instruction: Head east on Elliot Street, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 254.9 meters, Time: 183.5 seconds
Name: Cathcart Street, Instruction: Turn left onto Cathcart Street, Distance: 12.3 meters, Time: 8.8 seconds
Name: Jan van Riebeeck Avenue, Instruction: Turn right onto Jan van Riebeeck Avenue, Distance: 21.4 meters, Time: 15.4 seconds
Name: Jan van Riebeeck Avenue, Instruction: Keep left onto Jan van Riebeeck Avenue, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 852.7 meters, Time: 613.9 seconds
Name: -, Instruction: Turn slight right, Distance: 458.7 meters, Time: 330.3 seconds
Name: -, Instruction: Turn slight left, Distance: 762.2 meters, Time: 548.8 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Continue straight, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: Tiara Way, Instruction: Turn left onto Tiara Way, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at Tiara Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
