Name: Hawke Place, Instruction: Head south on Hawke Place, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn right, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Keep left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight left, Distance: 367.0 meters, Time: 264.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 300.7 meters, Time: 216.5 seconds
Name: -, Instruction: Turn right, Distance: 228.8 meters, Time: 164.7 seconds
Name: -, Instruction: Turn right, Distance: 113.4 meters, Time: 81.7 seconds
Name: -, Instruction: Keep left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 115.9 meters, Time: 83.4 seconds
Name: -, Instruction: Keep left, Distance: 60.6 meters, Time: 43.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
