Name: Rua Castelo Branco, Instruction: Head north on Rua Castelo Branco, Distance: 131.3 meters, Time: 94.6 seconds
Name: Rua Nossa Senhora Aparecida, Instruction: Turn right onto Rua Nossa Senhora Aparecida, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 227.5 meters, Time: 163.8 seconds
Name: Rua Monte Claro, Instruction: Turn right onto Rua Monte Claro, Distance: 263.5 meters, Time: 189.7 seconds
Name: Rua Laís dos Reis, Instruction: Turn left onto Rua Laís dos Reis, Distance: 13.2 meters, Time: 9.5 seconds
Name: Rua Ayrton Senna, Instruction: Keep right onto Rua Ayrton Senna, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rua Ayrton Senna, Instruction: Keep right onto Rua Ayrton Senna, Distance: 228.7 meters, Time: 164.7 seconds
Name: -, Instruction: Continue straight, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
