Name: Gordon Bell Road, Instruction: Head north on Gordon Bell Road, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 207.4 meters, Time: 149.3 seconds
Name: -, Instruction: Turn right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Keep right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 94.4 meters, Time: 67.9 seconds
Name: Crawford Street, Instruction: Turn left onto Crawford Street, Distance: 36.7 meters, Time: 26.4 seconds
Name: Trinity Park Lane, Instruction: Turn right onto Trinity Park Lane, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn slight right, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Trinity Circle, Instruction: Turn sharp left onto Trinity Circle, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Keep left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 193.5 meters, Time: 139.3 seconds
Name: -, Instruction: Keep right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Gore Vale Avenue, Instruction: Turn left onto Gore Vale Avenue, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: Bellwoods Avenue, Instruction: Turn left onto Bellwoods Avenue, Distance: 290.8 meters, Time: 209.4 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: Clinton Street, Instruction: Turn left onto Clinton Street, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn right, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
