Name: Ang Mo Kio Street 53, Instruction: Head south on Ang Mo Kio Street 53, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 413.8 meters, Time: 297.9 seconds
Name: -, Instruction: Turn right, Distance: 609.9 meters, Time: 439.1 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 172.7 meters, Time: 124.3 seconds
Name: -, Instruction: Keep right, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 109.7 meters, Time: 79.0 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Keep right, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Keep left, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 179.6 meters, Time: 129.3 seconds
Name: -, Instruction: Turn right, Distance: 127.9 meters, Time: 92.1 seconds
Name: Serangoon Garden Way, Instruction: Turn right onto Serangoon Garden Way, Distance: 183.0 meters, Time: 131.8 seconds
Name: -, Instruction: Arrive at Serangoon Garden Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
