Name: Ryehill Close, Instruction: Head northwest on Ryehill Close, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 301.6 meters, Time: 217.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 408.9 meters, Time: 294.4 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 318.9 meters, Time: 229.6 seconds
Name: -, Instruction: Turn right, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 628.8 meters, Time: 452.7 seconds
Name: -, Instruction: Turn slight right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Keep left, Distance: 249.0 meters, Time: 179.2 seconds
Name: -, Instruction: Keep right, Distance: 124.7 meters, Time: 89.8 seconds
Name: -, Instruction: Turn slight left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep right, Distance: 156.8 meters, Time: 112.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
