Name: Avenue Grande, Instruction: Head southeast on Avenue Grande, Distance: 104.4 meters, Time: 75.2 seconds
Name: Barmbeck Avenue, Instruction: Turn right onto Barmbeck Avenue, Distance: 105.7 meters, Time: 76.1 seconds
Name: Thibault Avenue, Instruction: Turn left onto Thibault Avenue, Distance: 363.4 meters, Time: 261.6 seconds
Name: Bucksburn Road, Instruction: Turn left onto Bucksburn Road, Distance: 180.6 meters, Time: 130.0 seconds
Name: Colinton Road, Instruction: Turn right onto Colinton Road, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 197.0 meters, Time: 141.8 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Keep right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Vineyard Road, Instruction: Turn right onto Vineyard Road, Distance: 175.5 meters, Time: 126.4 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
