Name: Thornton Road, Instruction: Head north on Thornton Road, Distance: 47.5 meters, Time: 34.2 seconds
Name: Wheatfield Road, Instruction: Turn left onto Wheatfield Road, Distance: 314.4 meters, Time: 226.4 seconds
Name: Wheatfield Road, Instruction: Keep left onto Wheatfield Road, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Keep right, Distance: 93.0 meters, Time: 66.9 seconds
Name: Rokeby Road, Instruction: Turn slight left onto Rokeby Road, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 87.4 meters, Time: 62.9 seconds
Name: Hay Road, Instruction: Turn right onto Hay Road, Distance: 281.7 meters, Time: 202.8 seconds
Name: Taronga Road, Instruction: Turn left onto Taronga Road, Distance: 239.6 meters, Time: 172.5 seconds
Name: Turf Hall Road, Instruction: Turn right onto Turf Hall Road, Distance: 407.2 meters, Time: 293.2 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
