Name: Meredith Street, Instruction: Head southeast on Meredith Street, Distance: 27.2 meters, Time: 19.6 seconds
Name: Addison Street, Instruction: Turn left onto Addison Street, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 232.5 meters, Time: 167.4 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 379.2 meters, Time: 273.1 seconds
Name: -, Instruction: Turn right, Distance: 168.7 meters, Time: 121.4 seconds
Name: -, Instruction: Keep left, Distance: 834.8 meters, Time: 601.0 seconds
Name: Maui Pomare Street, Instruction: Turn right onto Maui Pomare Street, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at Maui Pomare Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
