Name: Gazania Street, Instruction: Head south on Gazania Street, Distance: 86.7 meters, Time: 62.4 seconds
Name: Dromedaris Street, Instruction: Turn left onto Dromedaris Street, Distance: 21.8 meters, Time: 15.7 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn slight right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn slight right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Keep left, Distance: 59.2 meters, Time: 42.6 seconds
Name: Thor Street, Instruction: Turn slight right onto Thor Street, Distance: 14.3 meters, Time: 10.3 seconds
Name: Avonwood Close, Instruction: Turn right onto Avonwood Close, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn slight left, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Mountain View Road, Instruction: Turn right onto Mountain View Road, Distance: 98.9 meters, Time: 71.2 seconds
Name: Grotto Close, Instruction: Turn left onto Grotto Close, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Arrive at Grotto Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
