Name: Parc de Lattre de Tassigny, Instruction: Head north on Parc de Lattre de Tassigny, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Promenade Paul Doumer, Instruction: Turn left onto Promenade Paul Doumer, Distance: 60.7 meters, Time: 43.7 seconds
Name: Rue Victor Hugo, Instruction: Turn right onto Rue Victor Hugo, Distance: 259.2 meters, Time: 186.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn slight left, Distance: 87.4 meters, Time: 62.9 seconds
Name: Rue Jean-Baptiste Charcot, Instruction: Keep left onto Rue Jean-Baptiste Charcot, Distance: 231.8 meters, Time: 166.9 seconds
Name: Rue Carpeaux, Instruction: Turn sharp left onto Rue Carpeaux, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 143.9 meters, Time: 103.6 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 92.8 meters, Time: 66.8 seconds
Name: Boulevard Saint-Denis, D 9, Instruction: Turn right onto Boulevard Saint-Denis, D 9, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Arrive at Boulevard Saint-Denis, D 9, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
