Name: Selway Avenue, Instruction: Head east on Selway Avenue, Distance: 163.7 meters, Time: 117.8 seconds
Name: McVicker Street, Instruction: Turn right onto McVicker Street, Distance: 94.0 meters, Time: 67.7 seconds
Name: Junction Road, Instruction: Turn left onto Junction Road, Distance: 75.8 meters, Time: 54.5 seconds
Name: Wilkes Avenue, Instruction: Turn right onto Wilkes Avenue, Distance: 436.6 meters, Time: 314.3 seconds
Name: Renton Avenue, Instruction: Turn right onto Renton Avenue, Distance: 62.5 meters, Time: 45.0 seconds
Name: Rae Avenue, Instruction: Turn left onto Rae Avenue, Distance: 83.0 meters, Time: 59.7 seconds
Name: -, Instruction: Turn right, Distance: 310.8 meters, Time: 223.8 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn slight left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 172.6 meters, Time: 124.3 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Wattle Grove Drive, Instruction: Turn left onto Wattle Grove Drive, Distance: 210.5 meters, Time: 151.6 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
