Name: Tuas South Street 3, Instruction: Head south on Tuas South Street 3, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 468.7 meters, Time: 337.4 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 433.3 meters, Time: 312.0 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: Tuas South Avenue 8, Instruction: Turn left onto Tuas South Avenue 8, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Arrive at Tuas South Avenue 8, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
