Name: Südparkallee, Instruction: Head south on Südparkallee, Distance: 404.9 meters, Time: 291.5 seconds
Name: Inninger Straße, Instruction: Turn left onto Inninger Straße, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Keep right, Distance: 485.3 meters, Time: 349.4 seconds
Name: -, Instruction: Turn slight left, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Keep left, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Keep right, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Keep left, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Keep left, Distance: 273.0 meters, Time: 196.6 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: Höglwörther Straße, Instruction: Turn right onto Höglwörther Straße, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn slight right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 220.9 meters, Time: 159.0 seconds
Name: -, Instruction: Keep left, Distance: 317.7 meters, Time: 228.8 seconds
Name: -, Instruction: Turn right, Distance: 153.0 meters, Time: 110.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
