Name: Rue des Poissonniers, Instruction: Head south on Rue des Poissonniers, Distance: 262.8 meters, Time: 189.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 219.4 meters, Time: 158.0 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.2 seconds
Name: Rue du Faubourg Poissonnière, Instruction: Turn right onto Rue du Faubourg Poissonnière, Distance: 379.5 meters, Time: 273.2 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Keep left, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn slight right, Distance: 70.1 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Rue de Trévise, Instruction: Turn left onto Rue de Trévise, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 206.1 meters, Time: 148.4 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: Rue Richer, Instruction: Turn right onto Rue Richer, Distance: 24.0 meters, Time: 17.3 seconds
Name: Rue Geoffroy Marie, Instruction: Turn left onto Rue Geoffroy Marie, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at Rue Geoffroy Marie, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
