Name: Nellie Stewart Drive, Instruction: Head east on Nellie Stewart Drive, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 406.4 meters, Time: 292.6 seconds
Name: -, Instruction: Turn slight left, Distance: 256.4 meters, Time: 184.6 seconds
Name: -, Instruction: Turn slight left, Distance: 340.6 meters, Time: 245.2 seconds
Name: -, Instruction: Turn right, Distance: 301.9 meters, Time: 217.4 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 138.6 meters, Time: 99.8 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 48.1 meters, Time: 34.6 seconds
Name: Waterside Grove, Instruction: Turn left onto Waterside Grove, Distance: 273.2 meters, Time: 196.7 seconds
Name: Eucumbene Drive, Instruction: Turn left onto Eucumbene Drive, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 175.1 meters, Time: 126.1 seconds
Name: Munmorah Circuit, Instruction: Turn right onto Munmorah Circuit, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Keep right, Distance: 11.5 meters, Time: 8.3 seconds
Name: Richmond Rd Shared Path, Instruction: Turn right onto Richmond Rd Shared Path, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
