Name: Travessa Vitorio Emanuel, Instruction: Head southeast on Travessa Vitorio Emanuel, Distance: 80.0 meters, Time: 57.6 seconds
Name: Rua Santa Sofia, Instruction: Turn sharp right onto Rua Santa Sofia, Distance: 210.3 meters, Time: 151.4 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 245.2 meters, Time: 176.5 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 131.5 meters, Time: 94.7 seconds
Name: Avenida Maracanã, Instruction: Turn left onto Avenida Maracanã, Distance: 26.0 meters, Time: 18.7 seconds
Name: Rua Barão de Mesquita, Instruction: Keep right onto Rua Barão de Mesquita, Distance: 1116.5 meters, Time: 803.8 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Keep left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
