Name: Merzbacherstraße, Instruction: Head northwest on Merzbacherstraße, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 177.8 meters, Time: 128.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: Landshuter Allee, Instruction: Turn slight right onto Landshuter Allee, Distance: 10.7 meters, Time: 7.7 seconds
Name: Dachauer Straße, Instruction: Turn sharp left onto Dachauer Straße, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 413.2 meters, Time: 297.5 seconds
Name: -, Instruction: Keep right, Distance: 357.5 meters, Time: 257.4 seconds
Name: -, Instruction: Turn slight right, Distance: 185.2 meters, Time: 133.4 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Leonrodstraße, Instruction: Turn left onto Leonrodstraße, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 193.3 meters, Time: 139.1 seconds
Name: Nymphenweg, Instruction: Turn left onto Nymphenweg, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Arrive at Nymphenweg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
