Name: Bentinck Drive, Instruction: Head west on Bentinck Drive, Distance: 89.8 meters, Time: 64.7 seconds
Name: Crocodile Drive, Instruction: Turn right onto Crocodile Drive, Distance: 218.7 meters, Time: 157.4 seconds
Name: Coronation Drive, Instruction: Turn left onto Coronation Drive, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Turn right, Distance: 489.1 meters, Time: 352.1 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 264.7 meters, Time: 190.6 seconds
Name: Cowpasture Road Shared Path, Instruction: Turn right onto Cowpasture Road Shared Path, Distance: 8.5 meters, Time: 6.1 seconds
Name: Cowpasture Road Shared Path, Instruction: Turn right onto Cowpasture Road Shared Path, Distance: 667.6 meters, Time: 480.7 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Keep right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
