Name: Broome Street, Instruction: Head north on Broome Street, Distance: 91.9 meters, Time: 66.2 seconds
Name: Beauchamp Road, Instruction: Turn left onto Beauchamp Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 223.1 meters, Time: 160.6 seconds
Name: Meagher Avenue, Instruction: Turn left onto Meagher Avenue, Distance: 185.8 meters, Time: 133.8 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn right, Distance: 465.0 meters, Time: 334.8 seconds
Name: -, Instruction: Turn slight left, Distance: 309.1 meters, Time: 222.6 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: Duncan Street, Instruction: Turn left onto Duncan Street, Distance: 71.3 meters, Time: 51.3 seconds
Name: Little Street, Instruction: Turn right onto Little Street, Distance: 85.6 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 93.2 meters, Time: 67.1 seconds
Name: French Street, Instruction: Turn right onto French Street, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Arrive at French Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
