Name: Rua Padre Manso, Instruction: Head north on Rua Padre Manso, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 610.5 meters, Time: 439.6 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: Avenida Ernani Cardoso, Instruction: Turn left onto Avenida Ernani Cardoso, Distance: 150.4 meters, Time: 108.3 seconds
Name: Avenida Ernani Cardoso, Instruction: Keep right onto Avenida Ernani Cardoso, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Continue straight, Distance: 92.3 meters, Time: 66.5 seconds
Name: Avenida Ernani Cardoso, Instruction: Turn left onto Avenida Ernani Cardoso, Distance: 18.2 meters, Time: 13.1 seconds
Name: Rua Nerval de Gouvêa, Instruction: Turn sharp right onto Rua Nerval de Gouvêa, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.4 seconds
Name: Viaduto de Cascadura, Instruction: Turn right onto Viaduto de Cascadura, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: Avenida Dom Hélder Câmara, Instruction: Turn left onto Avenida Dom Hélder Câmara, Distance: 23.2 meters, Time: 16.7 seconds
Name: Rua Silva Gomes, Instruction: Turn right onto Rua Silva Gomes, Distance: 504.5 meters, Time: 363.2 seconds
Name: Rua Itamarati, Instruction: Turn sharp left onto Rua Itamarati, Distance: 65.0 meters, Time: 46.8 seconds
Name: Vila Itamarati (264), Instruction: Turn right onto Vila Itamarati (264), Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Arrive at Vila Itamarati (264), straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
