Name: Ross Crescent, Instruction: Head southeast on Ross Crescent, Distance: 22.3 meters, Time: 16.0 seconds
Name: Taringha Street, Instruction: Turn left onto Taringha Street, Distance: 268.4 meters, Time: 193.2 seconds
Name: Great Blue Mountains Trail, Instruction: Turn right onto Great Blue Mountains Trail, Distance: 372.9 meters, Time: 268.5 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight left onto Great Blue Mountains Trail, Distance: 14.5 meters, Time: 10.5 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight right onto Great Blue Mountains Trail, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Continue straight, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn slight right, Distance: 493.5 meters, Time: 355.3 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: Old Bathurst Road, Instruction: Turn right onto Old Bathurst Road, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
