Name: Brick Lane, Instruction: Head north on Brick Lane, Distance: 77.2 meters, Time: 55.6 seconds
Name: Tomlinson Close, Instruction: Turn right onto Tomlinson Close, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: Kirton Gardens, Instruction: Turn left onto Kirton Gardens, Distance: 42.7 meters, Time: 30.8 seconds
Name: Chambord Street, Instruction: Turn right onto Chambord Street, Distance: 135.3 meters, Time: 97.4 seconds
Name: Columbia Road, Instruction: Turn right onto Columbia Road, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Keep left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn slight right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
