Name: Privada Capirote, Instruction: Head east on Privada Capirote, Distance: 7.0 meters, Time: 5.1 seconds
Name: Calzada Acueducto, Instruction: Turn right onto Calzada Acueducto, Distance: 115.4 meters, Time: 83.1 seconds
Name: Calle González Aragón, Instruction: Keep right onto Calle González Aragón, Distance: 132.8 meters, Time: 95.6 seconds
Name: Calzada México-Xochimilco, Instruction: Turn left onto Calzada México-Xochimilco, Distance: 328.7 meters, Time: 236.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn slight left, Distance: 248.5 meters, Time: 178.9 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn sharp right onto Boulevard Adolfo Ruiz Cortines, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.3 meters, Time: 34.8 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn slight right onto Boulevard Adolfo Ruiz Cortines, Distance: 273.0 meters, Time: 196.6 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 29.0 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
