Name: Quakers Road, Instruction: Head southeast on Quakers Road, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 798.8 meters, Time: 575.1 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn left onto Breakfast Creek Shared Path, Distance: 17.5 meters, Time: 12.6 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn right onto Breakfast Creek Shared Path, Distance: 8.8 meters, Time: 6.4 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn left onto Breakfast Creek Shared Path, Distance: 164.2 meters, Time: 118.2 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn left onto Breakfast Creek Shared Path, Distance: 7.5 meters, Time: 5.4 seconds
Name: Roy Place, Instruction: Turn right onto Roy Place, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Continue straight, Distance: 226.4 meters, Time: 163.0 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Twilight Crescent, Instruction: Turn right onto Twilight Crescent, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 153.2 meters, Time: 110.3 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Greenbank Drive, Instruction: Turn sharp left onto Greenbank Drive, Distance: 9.8 meters, Time: 7.0 seconds
Name: Fairwater Boulevard, Instruction: Turn right onto Fairwater Boulevard, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Birdie Circuit, Instruction: Turn left onto Birdie Circuit, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Arrive at Birdie Circuit, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
