Name: Rua Antunes Maciel, Instruction: Head west on Rua Antunes Maciel, Distance: 170.2 meters, Time: 122.6 seconds
Name: Rua São Cristóvão, Instruction: Turn left onto Rua São Cristóvão, Distance: 86.3 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: Rua Francisco Eugênio, Instruction: Turn slight right onto Rua Francisco Eugênio, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 228.9 meters, Time: 164.8 seconds
Name: Rua Francisco Eugênio, Instruction: Turn slight left onto Rua Francisco Eugênio, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.6 seconds
Name: -, Instruction: Turn right, Distance: 225.0 meters, Time: 162.0 seconds
Name: -, Instruction: Turn right, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: Rua Senador Furtado, Instruction: Turn left onto Rua Senador Furtado, Distance: 90.3 meters, Time: 65.0 seconds
Name: Rua Pedro Guedes, Instruction: Turn right onto Rua Pedro Guedes, Distance: 244.7 meters, Time: 176.2 seconds
Name: Rua Ibituruna, Instruction: Turn left onto Rua Ibituruna, Distance: 251.5 meters, Time: 181.1 seconds
Name: Rua Ibituruna, Instruction: Keep right onto Rua Ibituruna, Distance: 206.0 meters, Time: 148.3 seconds
Name: -, Instruction: Arrive at Rua Ibituruna, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
