Name: Howard Drive, Instruction: Head south on Howard Drive, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Continue straight, Distance: 247.0 meters, Time: 177.8 seconds
Name: -, Instruction: Turn slight right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 218.3 meters, Time: 157.2 seconds
Name: Jeffcoat Avenue, Instruction: Turn right onto Jeffcoat Avenue, Distance: 256.5 meters, Time: 184.7 seconds
Name: Hiddingh Avenue, Instruction: Turn left onto Hiddingh Avenue, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn slight right, Distance: 118.7 meters, Time: 85.5 seconds
Name: Hiddingh Road, Instruction: Continue straight onto Hiddingh Road, Distance: 85.0 meters, Time: 61.2 seconds
Name: Alphen Way, Instruction: Turn right onto Alphen Way, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
