Name: East 13th Place, Instruction: Head southwest on East 13th Place, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 167.2 meters, Time: 120.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: Xanadu Street, Instruction: Turn right onto Xanadu Street, Distance: 184.1 meters, Time: 132.5 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Turn left, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
