Name: Beatrice Street, Instruction: Head north on Beatrice Street, Distance: 208.4 meters, Time: 150.0 seconds
Name: Victoria Street West, Instruction: Turn left onto Victoria Street West, Distance: 118.3 meters, Time: 85.2 seconds
Name: Nottinghill Road, Instruction: Turn right onto Nottinghill Road, Distance: 85.7 meters, Time: 61.7 seconds
Name: Kerrs Road, Instruction: Turn right onto Kerrs Road, Distance: 195.5 meters, Time: 140.8 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: Kerrs Road, Instruction: Turn sharp right onto Kerrs Road, Distance: 192.0 meters, Time: 138.2 seconds
Name: Joseph Street, Instruction: Turn left onto Joseph Street, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 182.0 meters, Time: 131.0 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 361.9 meters, Time: 260.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 100.1 meters, Time: 72.1 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
