Name: Loristraße, Instruction: Head south on Loristraße, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 164.6 meters, Time: 118.5 seconds
Name: Lothstraße, Instruction: Turn left onto Lothstraße, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 94.4 meters, Time: 68.0 seconds
Name: Maillingerstraße, Instruction: Turn left onto Maillingerstraße, Distance: 271.3 meters, Time: 195.4 seconds
Name: Elvirastraße, Instruction: Turn right onto Elvirastraße, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 647.9 meters, Time: 466.5 seconds
Name: Landshuter Allee, Instruction: Turn left onto Landshuter Allee, Distance: 5.8 meters, Time: 4.2 seconds
Name: Arnulfstraße, Instruction: Turn right onto Arnulfstraße, Distance: 320.5 meters, Time: 230.8 seconds
Name: Sedlmayrstraße, Instruction: Turn left onto Sedlmayrstraße, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 110.6 meters, Time: 79.6 seconds
Name: Burghausener Straße, Instruction: Turn left onto Burghausener Straße, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
