Name: Davenport Road, Instruction: Head southeast on Davenport Road, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn right, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.2 seconds
Name: Designers Walk Lane, Instruction: Turn right onto Designers Walk Lane, Distance: 218.0 meters, Time: 157.0 seconds
Name: Bedford Road, Instruction: Turn left onto Bedford Road, Distance: 15.3 meters, Time: 11.0 seconds
Name: Pears Avenue, Instruction: Turn right onto Pears Avenue, Distance: 295.6 meters, Time: 212.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
