Name: Bluegum Street, Instruction: Head west on Bluegum Street, Distance: 27.4 meters, Time: 19.8 seconds
Name: -, Instruction: Keep left, Distance: 34.2 meters, Time: 24.6 seconds
Name: Bonteheuwel Avenue, Instruction: Turn slight left onto Bonteheuwel Avenue, Distance: 222.4 meters, Time: 160.1 seconds
Name: Vlamboom Road, Instruction: Turn left onto Vlamboom Road, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Keep right, Distance: 69.8 meters, Time: 50.3 seconds
Name: Vlamboom Road, Instruction: Turn right onto Vlamboom Road, Distance: 59.7 meters, Time: 42.9 seconds
Name: Bonteheuwel Avenue, Instruction: Turn left onto Bonteheuwel Avenue, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: Soetdoring Street, Instruction: Turn left onto Soetdoring Street, Distance: 183.8 meters, Time: 132.4 seconds
Name: Soetdoring Street, Instruction: Turn left onto Soetdoring Street, Distance: 208.5 meters, Time: 150.1 seconds
Name: Smalblaar Road, Instruction: Turn right onto Smalblaar Road, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn right, Distance: 145.6 meters, Time: 104.8 seconds
Name: Saffraan Road, Instruction: Turn right onto Saffraan Road, Distance: 137.0 meters, Time: 98.6 seconds
Name: Rooihout Road, Instruction: Continue straight onto Rooihout Road, Distance: 137.6 meters, Time: 99.1 seconds
Name: Rooiels Road, Instruction: Turn slight right onto Rooiels Road, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Turn right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 100.3 meters, Time: 72.2 seconds
Name: Redberry Close, Instruction: Turn left onto Redberry Close, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at Redberry Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
