Name: St. Clarens Avenue, Instruction: Head south on St. Clarens Avenue, Distance: 1.2 meters, Time: 0.9 seconds
Name: Lappin Avenue, Instruction: Turn left onto Lappin Avenue, Distance: 489.0 meters, Time: 352.1 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Hallam Street, Instruction: Turn left onto Hallam Street, Distance: 571.9 meters, Time: 411.8 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: Delaware Avenue, Instruction: Turn right onto Delaware Avenue, Distance: 38.6 meters, Time: 27.8 seconds
Name: Pura Vida Lane, Instruction: Turn left onto Pura Vida Lane, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn right, Distance: 421.4 meters, Time: 303.4 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.3 seconds
Name: Concord Avenue, Instruction: Turn right onto Concord Avenue, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Arrive at Concord Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
