Name: Rua José Higino, Instruction: Head northwest on Rua José Higino, Distance: 176.3 meters, Time: 127.0 seconds
Name: Rua Antônio Basílio, Instruction: Turn right onto Rua Antônio Basílio, Distance: 636.2 meters, Time: 458.1 seconds
Name: Rua Soriano de Sousa, Instruction: Turn sharp left onto Rua Soriano de Sousa, Distance: 149.4 meters, Time: 107.6 seconds
Name: Rua Barão de Mesquita, Instruction: Turn right onto Rua Barão de Mesquita, Distance: 2.7 meters, Time: 2.0 seconds
Name: Rua Barão de Mesquita, Instruction: Continue straight onto Rua Barão de Mesquita, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Keep left, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 135.5 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 179.2 meters, Time: 129.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
