Name: Kendal Crescent, Instruction: Head north on Kendal Crescent, Distance: 240.5 meters, Time: 173.2 seconds
Name: -, Instruction: Turn right, Distance: 280.0 meters, Time: 201.6 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 300.8 meters, Time: 216.6 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.0 seconds
Name: Second Avenue, Instruction: Turn right onto Second Avenue, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn slight right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
