Name: Governors Drive, Instruction: Head south on Governors Drive, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 710.6 meters, Time: 511.6 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 69.9 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 260.6 meters, Time: 187.6 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 229.0 meters, Time: 164.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
