Name: Beale Place, Instruction: Head northeast on Beale Place, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 103.3 meters, Time: 74.4 seconds
Name: Accent Drive, Instruction: Turn right onto Accent Drive, Distance: 10.7 meters, Time: 7.7 seconds
Name: Accent Drive, Instruction: Keep left onto Accent Drive, Distance: 63.0 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 164.6 meters, Time: 118.5 seconds
Name: Wayne Francis Drive, Instruction: Turn right onto Wayne Francis Drive, Distance: 19.2 meters, Time: 13.8 seconds
Name: Accent Drive, Instruction: Turn left onto Accent Drive, Distance: 458.5 meters, Time: 330.1 seconds
Name: -, Instruction: Turn left, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn right, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
