Name: Porte Maillot, Instruction: Head west on Porte Maillot, Distance: 146.0 meters, Time: 105.1 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Keep left, Distance: 173.9 meters, Time: 125.2 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 152.5 meters, Time: 109.8 seconds
Name: -, Instruction: Keep right, Distance: 65.6 meters, Time: 47.2 seconds
Name: Allée des Marronniers, Instruction: Keep left onto Allée des Marronniers, Distance: 309.2 meters, Time: 222.6 seconds
Name: Allée des Maronniers, Instruction: Continue straight onto Allée des Maronniers, Distance: 407.2 meters, Time: 293.2 seconds
Name: Avenue du Mahatma Gandhi, Instruction: Turn left onto Avenue du Mahatma Gandhi, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 358.3 meters, Time: 258.0 seconds
Name: -, Instruction: Turn left, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Turn slight left, Distance: 131.0 meters, Time: 94.3 seconds
Name: Boulevard du Commandant Charcot, Instruction: Turn left onto Boulevard du Commandant Charcot, Distance: 6.0 meters, Time: 4.3 seconds
Name: Boulevard Richard Wallace, Instruction: Enter the roundabout and take the 2nd exit onto Boulevard Richard Wallace, Distance: 45.7 meters, Time: 32.9 seconds
Name: Boulevard Richard Wallace, Instruction: Turn sharp left onto Boulevard Richard Wallace, Distance: 3.4 meters, Time: 2.5 seconds
Name: Boulevard Richard Wallace, Instruction: Turn sharp right onto Boulevard Richard Wallace, Distance: 372.7 meters, Time: 268.3 seconds
Name: -, Instruction: Keep left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 99.0 meters, Time: 71.3 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
