Name: Knight Street, Instruction: Head west on Knight Street, Distance: 100.7 meters, Time: 72.5 seconds
Name: Union Street, Instruction: Turn slight left onto Union Street, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Keep right, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 617.2 meters, Time: 444.4 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: Pride Square, Instruction: Turn sharp left onto Pride Square, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: Denison Street, Instruction: Turn right onto Denison Street, Distance: 648.6 meters, Time: 467.0 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 48.2 meters, Time: 34.7 seconds
Name: Salisbury Lane, Instruction: Turn right onto Salisbury Lane, Distance: 208.6 meters, Time: 150.2 seconds
Name: Cardigan Lane, Instruction: Turn right onto Cardigan Lane, Distance: 175.9 meters, Time: 126.6 seconds
Name: Cruikshank Street, Instruction: Turn left onto Cruikshank Street, Distance: 41.4 meters, Time: 29.8 seconds
Name: Cruikshank Street, Instruction: Keep right onto Cruikshank Street, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Arrive at Cruikshank Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
