Name: Sea Point Promenade, Instruction: Head southwest on Sea Point Promenade, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 259.6 meters, Time: 186.9 seconds
Name: -, Instruction: Turn right, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 775.5 meters, Time: 558.4 seconds
Name: -, Instruction: Keep left, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
