Name: Graham Street, Instruction: Head south on Graham Street, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 243.9 meters, Time: 175.6 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 217.2 meters, Time: 156.4 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Keep right, Distance: 241.4 meters, Time: 173.8 seconds
Name: -, Instruction: Turn slight left, Distance: 205.7 meters, Time: 148.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Keep right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Continue straight, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Keep right, Distance: 332.5 meters, Time: 239.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Keep right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 587.4 meters, Time: 422.9 seconds
Name: -, Instruction: Turn left, Distance: 162.9 meters, Time: 117.3 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
