Name: Rue Vergniaud, Instruction: Head northeast on Rue Vergniaud, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 112.3 meters, Time: 80.8 seconds
Name: -, Instruction: Turn right, Distance: 162.7 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 252.6 meters, Time: 181.8 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 90.2 meters, Time: 64.9 seconds
Name: Place Paul Verlaine, Instruction: Turn right onto Place Paul Verlaine, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 417.7 meters, Time: 300.7 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 152.8 meters, Time: 110.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 368.7 meters, Time: 265.5 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
