Name: Rue Buzelin, Instruction: Head north on Rue Buzelin, Distance: 139.6 meters, Time: 100.5 seconds
Name: Rue de Torcy, Instruction: Turn left onto Rue de Torcy, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 250.5 meters, Time: 180.4 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Rue de l'Évangile, Instruction: Turn right onto Rue de l'Évangile, Distance: 286.9 meters, Time: 206.6 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: Rue d'Aubervilliers, Instruction: Continue straight onto Rue d'Aubervilliers, Distance: 321.6 meters, Time: 231.5 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn slight left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn slight right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Keep right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Keep right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
