Name: Lockwood Road, Instruction: Head north on Lockwood Road, Distance: 185.5 meters, Time: 133.5 seconds
Name: Dixon Avenue, Instruction: Turn left onto Dixon Avenue, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Turn right, Distance: 359.5 meters, Time: 258.9 seconds
Name: -, Instruction: Keep left, Distance: 161.8 meters, Time: 116.5 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 439.8 meters, Time: 316.7 seconds
Name: Brookside Drive, Instruction: Turn left onto Brookside Drive, Distance: 66.6 meters, Time: 48.0 seconds
Name: Corley Avenue, Instruction: Turn right onto Corley Avenue, Distance: 365.7 meters, Time: 263.3 seconds
Name: Glen Davis Crescent, Instruction: Turn right onto Glen Davis Crescent, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 262.3 meters, Time: 188.9 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.6 seconds
Name: Kildonan Road, Instruction: Turn left onto Kildonan Road, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 100.5 meters, Time: 72.3 seconds
Name: -, Instruction: Keep right, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Turn slight right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Norwood Road, Instruction: Turn left onto Norwood Road, Distance: 174.5 meters, Time: 125.6 seconds
Name: -, Instruction: Arrive at Norwood Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
