Name: Hofmarkstraße, Instruction: Head west on Hofmarkstraße, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 57.8 meters, Time: 41.6 seconds
Name: Bahnhofplatz, Instruction: Turn left onto Bahnhofplatz, Distance: 172.4 meters, Time: 124.2 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Keep right, Distance: 214.2 meters, Time: 154.2 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 130.5 meters, Time: 94.0 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 48.7 meters, Time: 35.1 seconds
Name: Richard-Wagner-Straße, Instruction: Turn sharp left onto Richard-Wagner-Straße, Distance: 122.0 meters, Time: 87.8 seconds
Name: Max-Reger-Straße, Instruction: Turn right onto Max-Reger-Straße, Distance: 31.9 meters, Time: 23.0 seconds
Name: Richard-Wagner-Straße, Instruction: Turn left onto Richard-Wagner-Straße, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at Richard-Wagner-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
