Name: Buschingstraße, Instruction: Head south on Buschingstraße, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Continue straight, Distance: 21.1 meters, Time: 15.2 seconds
Name: Stuntzstraße, Instruction: Turn left onto Stuntzstraße, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Steinhauser Straße, Instruction: Turn right onto Steinhauser Straße, Distance: 114.8 meters, Time: 82.7 seconds
Name: -, Instruction: Keep left, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Turn right, Distance: 170.6 meters, Time: 122.8 seconds
Name: Prinzregentenstraße, Instruction: Turn right onto Prinzregentenstraße, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 51.2 meters, Time: 36.9 seconds
Name: Einsteinstraße, Instruction: Turn sharp left onto Einsteinstraße, Distance: 11.9 meters, Time: 8.6 seconds
Name: Vogelweideplatz, Instruction: Turn right onto Vogelweideplatz, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at Vogelweideplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
