Name: Velocity Street, Instruction: Head west on Velocity Street, Distance: 193.4 meters, Time: 139.3 seconds
Name: Fillies Road, Instruction: Turn right onto Fillies Road, Distance: 72.5 meters, Time: 52.2 seconds
Name: Carbon Street, Instruction: Turn left onto Carbon Street, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn left, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 250.1 meters, Time: 180.1 seconds
Name: -, Instruction: Turn left, Distance: 107.9 meters, Time: 77.7 seconds
Name: Athwood Road, Instruction: Turn right onto Athwood Road, Distance: 276.6 meters, Time: 199.1 seconds
Name: Athwood Road, Instruction: Continue straight onto Athwood Road, Distance: 167.6 meters, Time: 120.6 seconds
Name: Hanlyn Crescent, Instruction: Turn right onto Hanlyn Crescent, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Arrive at Hanlyn Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
