Name: Simei Street 1, Instruction: Head southwest on Simei Street 1, Distance: 703.4 meters, Time: 506.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 395.2 meters, Time: 284.5 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: Bedok Industrial Park E, Instruction: Turn right onto Bedok Industrial Park E, Distance: 129.5 meters, Time: 93.2 seconds
Name: -, Instruction: Turn left, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: Bedok North Avenue 4, Instruction: Turn left onto Bedok North Avenue 4, Distance: 115.2 meters, Time: 82.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 209.2 meters, Time: 150.6 seconds
Name: Bedok Park Connector, Instruction: Turn left onto Bedok Park Connector, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 145.5 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
