Name: شارع الغربي, Instruction: Head north on شارع الغربي, Distance: 663.2 meters, Time: 477.5 seconds
Name: شارع عزبة الوالده العمومى, Instruction: Turn right onto شارع عزبة الوالده العمومى, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Keep right, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Turn slight right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn slight left, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: شارع المساكن, Instruction: Turn sharp right onto شارع المساكن, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 269.3 meters, Time: 193.9 seconds
Name: شارع الجامعه, Instruction: Turn right onto شارع الجامعه, Distance: 35.0 meters, Time: 25.2 seconds
Name: شارع الجامعه, Instruction: Turn left onto شارع الجامعه, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Keep left, Distance: 185.9 meters, Time: 133.9 seconds
Name: شارع عزبه الوالده العمومي, Instruction: Turn slight right onto شارع عزبه الوالده العمومي, Distance: 296.2 meters, Time: 213.2 seconds
Name: -, Instruction: Turn right, Distance: 65.6 meters, Time: 47.3 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
