Name: Old Eglinton Avenue, Instruction: Head east on Old Eglinton Avenue, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 402.1 meters, Time: 289.5 seconds
Name: -, Instruction: Keep right, Distance: 400.6 meters, Time: 288.4 seconds
Name: -, Instruction: Keep left, Distance: 276.1 meters, Time: 198.8 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
