Name: Place de la Bataille de Stalingrad, Instruction: Head west on Place de la Bataille de Stalingrad, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 283.6 meters, Time: 204.2 seconds
Name: -, Instruction: Keep right, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Keep left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Turn slight left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Keep left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 73.3 meters, Time: 52.7 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: Place Jan Karski, Instruction: Turn left onto Place Jan Karski, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
