Name: Avenue Latérale, Instruction: Head northeast on Avenue Latérale, Distance: 36.8 meters, Time: 26.5 seconds
Name: Avenue des Plantations, Instruction: Turn left onto Avenue des Plantations, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 193.6 meters, Time: 139.4 seconds
Name: Avenue Deligny, Instruction: Turn left onto Avenue Deligny, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Continue straight, Distance: 11.4 meters, Time: 8.2 seconds
Name: Boulevard du Bois le Prêtre, Instruction: Turn right onto Boulevard du Bois le Prêtre, Distance: 287.8 meters, Time: 207.2 seconds
Name: Avenue de la Porte Pouchet, Instruction: Turn sharp right onto Avenue de la Porte Pouchet, Distance: 135.0 meters, Time: 97.2 seconds
Name: Boulevard Bessières, Instruction: Continue straight onto Boulevard Bessières, Distance: 17.1 meters, Time: 12.3 seconds
Name: Boulevard Bessières, Instruction: Turn left onto Boulevard Bessières, Distance: 96.3 meters, Time: 69.3 seconds
Name: Rue Jacques Kellner, Instruction: Turn right onto Rue Jacques Kellner, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 118.8 meters, Time: 85.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 115.6 meters, Time: 83.2 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: Avenue de Saint-Ouen, Instruction: Turn sharp right onto Avenue de Saint-Ouen, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Leibniz, Instruction: Turn left onto Rue Leibniz, Distance: 183.2 meters, Time: 131.9 seconds
Name: Rue Vauvenargues, Instruction: Turn right onto Rue Vauvenargues, Distance: 27.1 meters, Time: 19.5 seconds
Name: Rue Vauvenargues, Instruction: Keep left onto Rue Vauvenargues, Distance: 208.4 meters, Time: 150.1 seconds
Name: Rue Vauvenargues, Instruction: Keep right onto Rue Vauvenargues, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Keep left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 243.3 meters, Time: 175.2 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 103.3 meters, Time: 74.4 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
