Name: Worthington Crescent, Instruction: Head north on Worthington Crescent, Distance: 218.2 meters, Time: 157.1 seconds
Name: Easson Avenue, Instruction: Turn right onto Easson Avenue, Distance: 232.6 meters, Time: 167.5 seconds
Name: -, Instruction: Turn right, Distance: 249.5 meters, Time: 179.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight left, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Keep left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Keep right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
