Name: Bain Street, Instruction: Head southeast on Bain Street, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Seah Street, Instruction: Turn left onto Seah Street, Distance: 177.6 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 209.2 meters, Time: 150.6 seconds
Name: -, Instruction: Turn left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 74.5 meters, Time: 53.7 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 128.3 meters, Time: 92.3 seconds
Name: -, Instruction: Keep right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Keep left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight left, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Keep left, Distance: 64.7 meters, Time: 46.6 seconds
Name: The Esplanade, Instruction: Turn slight left onto The Esplanade, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Arrive at The Esplanade, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
