Name: Bentinck Drive, Instruction: Head west on Bentinck Drive, Distance: 89.8 meters, Time: 64.7 seconds
Name: Crocodile Drive, Instruction: Turn right onto Crocodile Drive, Distance: 218.7 meters, Time: 157.4 seconds
Name: Coronation Drive, Instruction: Turn left onto Coronation Drive, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Turn right, Distance: 489.1 meters, Time: 352.1 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 264.7 meters, Time: 190.6 seconds
Name: Cowpasture Road Shared Path, Instruction: Turn right onto Cowpasture Road Shared Path, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 700.8 meters, Time: 504.6 seconds
Name: -, Instruction: Turn left, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: Lascelles Street, Instruction: Turn left onto Lascelles Street, Distance: 255.2 meters, Time: 183.7 seconds
Name: Athlone Street, Instruction: Keep left onto Athlone Street, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at Athlone Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
