Name: Rue Castex, Instruction: Head north on Rue Castex, Distance: 7.4 meters, Time: 5.3 seconds
Name: Boulevard Henri IV, Instruction: Turn sharp left onto Boulevard Henri IV, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Keep right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight left, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Keep left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Keep left, Distance: 105.2 meters, Time: 75.8 seconds
Name: -, Instruction: Keep left, Distance: 85.2 meters, Time: 61.4 seconds
Name: -, Instruction: Keep left, Distance: 52.3 meters, Time: 37.7 seconds
Name: Port de la Tournelle, Instruction: Continue straight onto Port de la Tournelle, Distance: 13.6 meters, Time: 9.8 seconds
Name: Port de la Tournelle, Instruction: Turn left onto Port de la Tournelle, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Keep right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
