Name: Boulevard Adolfo Ruiz Cortines, Instruction: Head west on Boulevard Adolfo Ruiz Cortines, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 203.5 meters, Time: 146.6 seconds
Name: -, Instruction: Turn right, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 180.2 meters, Time: 129.8 seconds
Name: -, Instruction: Keep left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: Calle Alborada, Instruction: Turn right onto Calle Alborada, Distance: 383.5 meters, Time: 276.1 seconds
Name: Avenida Zacatépetl, Instruction: Turn left onto Avenida Zacatépetl, Distance: 269.0 meters, Time: 193.6 seconds
Name: Calle Alborada, Instruction: Turn right onto Calle Alborada, Distance: 11.9 meters, Time: 8.6 seconds
Name: Avenida Zacatépetl, Instruction: Turn left onto Avenida Zacatépetl, Distance: 118.9 meters, Time: 85.6 seconds
Name: Camino a Santa Teresa, Instruction: Keep right onto Camino a Santa Teresa, Distance: 10.5 meters, Time: 7.5 seconds
Name: Camino a Santa Teresa, Instruction: Turn left onto Camino a Santa Teresa, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 132.2 meters, Time: 95.2 seconds
Name: -, Instruction: Turn slight left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
