Name: The Link, Instruction: Head northwest on The Link, Distance: 118.7 meters, Time: 85.5 seconds
Name: Priestley Way, Instruction: Turn slight right onto Priestley Way, Distance: 77.6 meters, Time: 55.9 seconds
Name: Priestley Way, Instruction: Keep right onto Priestley Way, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: Edgware Road, Instruction: Turn right onto Edgware Road, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 69.1 meters, Time: 49.7 seconds
Name: -, Instruction: Turn slight left, Distance: 341.6 meters, Time: 245.9 seconds
Name: -, Instruction: Turn slight right, Distance: 321.8 meters, Time: 231.7 seconds
Name: -, Instruction: Turn right, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 161.2 meters, Time: 116.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
