Name: شارع صلاح سالم, Instruction: Head northeast on شارع صلاح سالم, Distance: 220.1 meters, Time: 158.4 seconds
Name: -, Instruction: Turn left, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn right, Distance: 215.1 meters, Time: 154.9 seconds
Name: شارع السيد الميرغنى, Instruction: Turn right onto شارع السيد الميرغنى, Distance: 132.7 meters, Time: 95.5 seconds
Name: -, Instruction: Keep left, Distance: 32.8 meters, Time: 23.6 seconds
Name: شارع السيد الميرغنى, Instruction: Turn left onto شارع السيد الميرغنى, Distance: 41.1 meters, Time: 29.6 seconds
Name: شارع الاسكندر الاكبر, Instruction: Turn sharp right onto شارع الاسكندر الاكبر, Distance: 112.8 meters, Time: 81.2 seconds
Name: شارع محمد جلال, Instruction: Turn left onto شارع محمد جلال, Distance: 153.0 meters, Time: 110.1 seconds
Name: شارع ابراهيم اللقاني, Instruction: Turn sharp right onto شارع ابراهيم اللقاني, Distance: 61.8 meters, Time: 44.5 seconds
Name: شارع ابراهيم اللقاني, Instruction: Turn left onto شارع ابراهيم اللقاني, Distance: 226.4 meters, Time: 163.0 seconds
Name: -, Instruction: Arrive at شارع ابراهيم اللقاني, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
