Name: Rue Pierre le Grand, Instruction: Head southeast on Rue Pierre le Grand, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 166.2 meters, Time: 119.6 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 309.7 meters, Time: 223.0 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 217.0 meters, Time: 156.3 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Rue de Presbourg, Instruction: Turn left onto Rue de Presbourg, Distance: 15.6 meters, Time: 11.2 seconds
Name: Avenue Foch, Instruction: Turn right onto Avenue Foch, Distance: 18.4 meters, Time: 13.2 seconds
Name: Avenue Foch, Instruction: Keep left onto Avenue Foch, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 556.6 meters, Time: 400.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
